Mines Gathered;Dead Sweepers
8;30
9;29
9;27
8;29
8;28
7;29
6;30
8;29
5;30
9;28
8;29
8;29
8;27
6;30
9;30
8;29
8;28
8;29
8;29
4;30
7;29
5;30
7;30
8;27
7;30
7;30
9;30
9;27
4;29
6;29
7;29
9;29
7;30
6;29
5;30
7;29
10;29
8;29
4;30
7;30
10;28
8;29
10;28
6;27
8;28
9;28
5;29
5;28
7;29
9;28
9;30
8;27
6;29
6;29
8;29
7;27
8;30
4;30
7;29
3;29
8;30
8;30
4;29
8;28
8;30
10;28
9;28
9;26
6;28
9;29
6;26
8;29
8;30
4;29
7;30
7;29
7;29
8;28
7;30
6;29
5;29
4;29
7;28
9;29
6;28
9;30
9;29
8;29
6;30
8;29
7;29
6;27
5;28
8;28
8;29
10;28
7;30
6;29
10;29
5;29
8;29
9;29
8;29
8;29
7;29
8;29
8;30
10;29
7;30
6;28
9;29
8;28
7;28
8;29
8;27
9;28
10;28
8;28
5;29
8;29
8;30
7;30
8;30
6;29
8;28
9;28
4;27
7;29
5;30
6;29
8;28
5;29
6;30
5;30
9;29
7;28
5;29
